Flail of Vohfjebpsu, damage: 14, value: 15
Halberd of Ewafavjfi, damage: 34, value: 2
Sword of Eskrownko, damage: 15, value: 19
Dirk of Pgpepgaoo, damage: 18, value: 34
Halberd of Oniia, damage: 38, value: 18
Hammer of Smiea, damage: 30, value: 37
Sword of Puvluha, damage: 35, value: 31
Hatchet of Seffeudwve, damage: 37, value: 17
Axe of Baaa, damage: 31, value: 7
Bow of Tetrjadcubke, damage: 14, value: 13
Dirk of Tjioi, damage: 19, value: 5
Crossbow of Boea, damage: 25, value: 15
Sword of Eecju, damage: 29, value: 23
Halberd of Sruteoju, damage: 48, value: 23
Dirk of Onidabbo, damage: 29, value: 20
Dagger of Lpmewbdatiwwi, damage: 42, value: 26
Club of Tsuktlavpne, damage: 43, value: 31
Dirk of Dvpudlobipfge, damage: 27, value: 27
Halberd of Cjwoanranhgo, damage: 29, value: 37
Halberd of Kljeitado, damage: 16, value: 7
Club of Inbnihmudgsi, damage: 17, value: 18
Bow of Udsegbovwhu, damage: 30, value: 34
Dagger of Aurbu, damage: 35, value: 19
Knife of Dpmamneewkwo, damage: 26, value: 11
Club of Unjfaa, damage: 16, value: 38
Flail of Evrtue, damage: 24, value: 35
Club of Ofbdefene, damage: 38, value: 23
Hatchet of Oaga, damage: 43, value: 26
Spear of Kjsoetubve, damage: 35, value: 18
Dirk of Hpvegdjeesbti, damage: 37, value: 26
Mace of Gofvau, damage: 17, value: 20
Sword of Unnefbcajbke, damage: 25, value: 8
Hammer of Cullgoa, damage: 32, value: 29
Halberd of Iknanso, damage: 26, value: 23
Spear of Lamtmeo, damage: 21, value: 17
Spear of Ovhee, damage: 43, value: 7
Sling of Uegvlahwta, damage: 37, value: 31
Sword of Oobeja, damage: 10, value: 24
Hatchet of Jvviklao, damage: 34, value: 38
Spear of Worfiona, damage: 35, value: 21
Sabre of Phnioo, damage: 16, value: 1
Mace of Nleersiju, damage: 22, value: 39
Dirk of Awebepku, damage: 35, value: 14
Club of Gvoosa, damage: 36, value: 15
Sling of Bbiwcujogu, damage: 16, value: 31
Dirk of Fijpfuvou, damage: 25, value: 5
Sabre of Gkagraomno, damage: 42, value: 22
Knife of Iftriljea, damage: 27, value: 2
Dagger of Vljeveuwwe, damage: 24, value: 29
Hammer of Lluhlapee, damage: 12, value: 24
Sabre of Lbgalninisco, damage: 38, value: 40
Sword of Jbupedvmi, damage: 21, value: 28
Dirk of Rnoreu, damage: 26, value: 35
Crossbow of Gdophedmli, damage: 46, value: 5
Sabre of Jbampani, damage: 33, value: 25
Sword of Ggjasmoau, damage: 19, value: 18
Club of Ekgalta, damage: 21, value: 17
Mace of Vtcuomnsi, damage: 38, value: 35
Sabre of Rhabiwlho, damage: 24, value: 13
Hatchet of Kespkuae, damage: 46, value: 6
Dirk of Nwjenue, damage: 22, value: 39
Hatchet of Owgodfi, damage: 33, value: 24
Mace of Ugmiupfi, damage: 20, value: 9
Sword of Nkurvembnue, damage: 44, value: 15
Crossbow of Gpusgobro, damage: 23, value: 30
Bow of Fjlilomgca, damage: 28, value: 33
Spear of Bdbehgoftkuu, damage: 37, value: 24
Bow of Rekpisa, damage: 42, value: 1
Spear of Knupeama, damage: 45, value: 6
Mace of Cvijbigri, damage: 49, value: 1
Bow of Gbipuu, damage: 20, value: 16
Club of Mdamibjice, damage: 42, value: 34
Hammer of Asnjomlu, damage: 22, value: 26
Dirk of Whucaco, damage: 44, value: 12
Club of Winektdo, damage: 22, value: 17
Halberd of Oumsnuphco, damage: 15, value: 19
Sling of Bmoua, damage: 19, value: 26
Hatchet of Bkivptiobri, damage: 28, value: 2
Bow of Dmgeuwe, damage: 49, value: 6
Halberd of Akukbwefo, damage: 17, value: 34
Dagger of Wiscilftegdwi, damage: 37, value: 35
Club of Wkodiwgagkru, damage: 43, value: 13
Mace of Tvcoautvi, damage: 25, value: 4
Dirk of Waua, damage: 37, value: 30
Knife of Wugira, damage: 28, value: 15
Sword of Tmfadthewse, damage: 17, value: 18
Knife of Knicjebkgu, damage: 36, value: 25
Bow of Gamdfubbdo, damage: 34, value: 12
Hammer of Wdeurgoo, damage: 42, value: 10
Club of Ibrhiscuu, damage: 49, value: 16
Hammer of Akhewma, damage: 10, value: 27
Flail of Fbcowcmogvdublge, damage: 36, value: 23
Sword of Pbaiwje, damage: 48, value: 23
Sword of Jwwooi, damage: 18, value: 16
Knife of Hisueha, damage: 14, value: 29
Crossbow of Psormmufbna, damage: 38, value: 4
Spear of Khelftoovso, damage: 35, value: 36
Hatchet of Fkuwefve, damage: 14, value: 7
Dirk of Vboeprwu, damage: 46, value: 7
Mace of Rudapdne, damage: 40, value: 15
