(-26,37),(-47,58)
(-47,-31),(-186,-31)
(-14,-7),(-134,-127)
(79,-77),(113,-43)
(98,-26),(5,-26)
(-93,-8),(-172,71)
(84,1),(-13,-96)
(-63,32),(-131,100)
(-78,-14),(-159,-14)
(7,-63),(7,-158)
(30,-37),(194,-37)
(-14,75),(-46,43)
(-98,-39),(-42,-95)
(54,73),(54,-56)
(-25,-11),(-133,-11)
(73,-61),(-61,-195)
(-23,12),(42,-53)
(49,-99),(153,-203)
(-36,-61),(116,-61)
(66,81),(-6,153)
(-57,-65),(-19,-65)
(-92,-31),(27,-31)
(58,-73),(163,-178)
(-82,-73),(-135,-73)
(39,2),(204,-163)
(-45,-90),(16,-151)
(-51,19),(-51,-20)
(0,-37),(135,98)
(-2,-34),(-2,31)
(-13,-65),(-141,-193)
(-86,-3),(-151,62)
(-24,59),(-24,111)
(-39,11),(97,-125)
(21,-18),(21,-56)
(53,12),(-39,12)
(27,-75),(27,-198)
(-57,-3),(-10,44)
(-15,-66),(-65,-116)
(31,-44),(200,-213)
(67,63),(-61,-65)
(-74,85),(-74,134)
(-81,89),(-81,-80)
(-47,11),(45,103)
(-12,-70),(-12,-171)
(28,46),(-124,198)
(80,90),(45,125)
(98,48),(98,132)
(-36,-100),(-36,35)
(85,96),(245,96)
(85,63),(59,89)
(-74,-43),(-74,15)
(-12,30),(-97,30)
(-24,-87),(114,-225)
(-97,49),(30,176)
(-2,45),(-2,22)
(45,-83),(129,-167)
(-87,46),(-239,-106)
(10,18),(-10,38)
(27,12),(133,118)
(94,-98),(59,-98)
(-84,-32),(57,-173)
(-82,53),(-82,144)
(-50,96),(88,234)
(-87,38),(-152,103)
(-63,-33),(86,116)
(37,-78),(37,-145)
(-13,-61),(-47,-61)
(93,67),(93,218)
(88,84),(88,113)
(37,-42),(163,84)
(-94,-92),(65,-92)
(-2,63),(-91,152)
(82,-20),(27,35)
(2,-30),(93,-30)
(9,20),(9,131)
(-13,27),(11,3)
(12,49),(12,144)
(59,-41),(59,-62)
(-81,-73),(4,12)
(43,35),(43,73)
(-85,-12),(-40,33)
(10,-15),(149,124)
(-95,86),(-236,86)
(13,-59),(13,-173)
(90,5),(90,102)
(17,20),(-4,20)
(-1,-97),(105,-97)
(-10,-88),(-172,74)
(-48,17),(-48,44)
(-98,-11),(-130,21)
(-73,58),(-44,87)
(52,-73),(-109,-73)
(-15,-51),(-79,13)
(21,-86),(-3,-110)
(69,-3),(160,-3)
